iter	MultiRMSE
0	1082.91233
1	1082.899144
2	1082.878847
3	1082.861022
4	1082.837376
5	1082.81008
6	1082.795686
7	1082.77822
8	1082.764668
9	1082.742928
10	1082.724283
11	1082.709574
12	1082.687083
13	1082.654016
14	1082.635255
15	1082.614824
16	1082.594876
17	1082.584329
18	1082.564072
19	1082.550957
20	1082.530698
21	1082.519498
22	1082.510552
23	1082.49538
24	1082.47461
25	1082.461251
26	1082.446217
27	1082.436626
28	1082.425085
29	1082.40981
30	1082.393595
31	1082.379137
32	1082.369229
33	1082.350473
34	1082.339771
35	1082.326928
36	1082.313138
37	1082.301515
38	1082.289755
39	1082.274409
40	1082.265336
41	1082.256586
42	1082.242611
43	1082.23109
44	1082.219619
45	1082.207442
46	1082.185818
47	1082.167993
48	1082.155367
49	1082.145168
50	1082.122163
51	1082.100978
52	1082.083083
53	1082.064262
54	1082.054644
55	1082.042996
56	1082.030377
57	1082.014354
58	1081.99741
59	1081.984276
60	1081.966057
61	1081.953624
62	1081.922625
63	1081.910919
64	1081.899543
65	1081.889889
66	1081.87528
67	1081.860941
68	1081.847741
69	1081.83691
70	1081.824948
71	1081.80941
72	1081.798112
73	1081.787655
74	1081.77605
75	1081.760699
76	1081.74626
77	1081.733187
78	1081.722583
79	1081.702363
80	1081.691238
81	1081.674423
82	1081.656939
83	1081.641096
84	1081.62465
85	1081.611006
86	1081.60134
87	1081.590992
88	1081.578729
89	1081.560193
90	1081.536074
91	1081.524552
92	1081.503593
93	1081.478754
94	1081.458609
95	1081.438703
96	1081.417367
97	1081.39823
98	1081.386624
99	1081.372748
100	1081.358364
101	1081.343901
102	1081.322566
103	1081.305229
104	1081.293562
105	1081.278661
106	1081.264135
107	1081.24919
108	1081.237029
109	1081.19783
110	1081.184625
111	1081.152223
112	1081.142428
113	1081.130962
114	1081.119607
115	1081.108261
116	1081.093771
117	1081.066619
118	1081.050824
119	1081.03477
120	1081.017281
121	1081.001636
122	1080.943812
123	1080.929446
124	1080.914266
125	1080.896935
126	1080.884409
127	1080.868282
128	1080.857729
129	1080.845784
130	1080.824043
