iter	Passed	Remaining
0	47	238514
1	48	121428
2	48	81423
3	49	61979
4	50	50101
5	50	41959
6	52	37277
7	52	32849
8	53	29720
9	54	27299
10	57	26285
11	59	24740
12	62	24087
13	64	23007
14	65	21829
15	68	21218
16	70	20619
17	74	20533
18	75	19682
19	76	18971
20	76	18116
21	76	17406
22	78	17044
23	79	16472
24	79	15873
25	80	15412
26	81	14937
27	82	14634
28	83	14307
29	89	14768
30	90	14493
31	92	14374
32	97	14629
33	98	14333
34	103	14642
35	106	14629
36	108	14579
37	110	14470
38	112	14348
39	113	14107
40	114	13876
41	117	13821
42	117	13599
43	120	13580
44	122	13525
45	126	13621
46	127	13473
47	132	13636
48	133	13520
49	136	13558
50	138	13434
51	139	13317
52	140	13097
53	141	12934
54	142	12774
55	143	12675
56	145	12600
57	146	12446
58	146	12303
59	148	12198
60	151	12304
61	153	12217
62	153	12064
63	158	12253
64	160	12177
65	163	12188
66	166	12256
67	169	12300
68	171	12252
69	172	12176
70	174	12138
71	176	12085
72	177	11981
73	178	11870
74	179	11793
75	179	11658
76	180	11523
77	181	11463
78	185	11541
79	187	11561
80	189	11492
81	190	11411
82	193	11444
83	196	11501
84	201	11624
85	204	11688
86	206	11637
87	206	11547
88	207	11433
89	207	11324
90	208	11226
91	208	11138
92	210	11093
93	212	11116
94	214	11059
95	216	11055
96	216	10961
97	219	10969
98	221	10968
99	225	11052
100	226	10969
101	230	11051
102	230	10982
103	232	10943
104	234	10918
105	235	10891
106	238	10914
107	240	10907
108	246	11059
109	246	10974
110	247	10914
111	248	10828
112	249	10801
113	254	10920
114	261	11121
115	263	11102
116	265	11071
117	266	11013
118	267	10981
119	270	10997
120	271	10952
121	273	10953
122	275	10922
123	277	10904
124	281	10978
125	282	10928
126	285	10968
127	286	10916
128	288	10890
129	290	10865
130	291	10826
131	293	10811
132	293	10745
133	294	10694
134	295	10644
135	295	10572
136	296	10533
137	297	10491
138	300	10509
139	303	10520
140	303	10464
141	307	10528
142	308	10487
143	311	10495
144	312	10460
145	313	10438
146	315	10403
147	316	10380
148	317	10352
149	319	10337
150	319	10273
151	320	10230
152	320	10168
153	321	10127
154	322	10070
155	323	10036
156	323	9983
157	324	9935
158	324	9879
159	324	9821
160	325	9769
161	325	9714
162	325	9662
163	326	9616
164	326	9566
165	326	9517
166	327	9467
167	327	9415
168	327	9364
169	327	9315
170	328	9273
171	328	9227
172	329	9181
173	329	9145
174	330	9108
175	330	9062
176	331	9019
177	331	8976
178	331	8931
179	332	8906
180	333	8873
181	333	8837
182	334	8800
183	334	8764
184	335	8739
185	336	8701
186	336	8667
187	337	8637
188	337	8594
189	337	8552
190	338	8519
191	338	8478
192	339	8445
193	340	8428
194	341	8419
195	341	8382
196	342	8346
197	342	8312
198	343	8288
199	344	8272
200	345	8254
201	346	8221
202	346	8193
203	347	8160
204	347	8127
205	347	8095
206	348	8072
207	349	8045
208	349	8014
209	349	7983
210	350	7962
211	351	7928
212	352	7915
213	352	7888
214	353	7857
215	353	7839
216	354	7806
217	354	7775
218	355	7750
219	355	7721
220	355	7698
221	356	7669
222	357	7651
223	357	7623
224	357	7596
225	358	7568
226	360	7573
227	360	7554
228	361	7532
229	362	7524
230	363	7497
231	363	7467
232	363	7441
233	364	7419
234	364	7393
235	364	7365
236	365	7340
237	365	7315
238	366	7305
239	367	7281
240	367	7257
241	367	7229
242	368	7204
243	368	7183
244	368	7157
245	369	7137
246	369	7116
247	370	7103
248	370	7078
249	371	7055
250	371	7033
251	372	7014
252	372	6992
253	374	6998
254	375	6989
255	376	6971
256	376	6949
257	376	6927
258	377	6904
259	377	6878
260	377	6855
261	377	6831
262	378	6809
263	378	6791
264	378	6768
265	379	6745
266	379	6723
267	379	6699
268	380	6689
269	381	6680
270	381	6658
271	381	6638
272	382	6617
273	382	6596
274	383	6585
275	383	6567
276	384	6550
277	384	6534
278	384	6513
279	385	6491
280	385	6476
281	386	6466
282	386	6446
283	387	6433
284	388	6424
285	389	6424
286	391	6421
287	391	6403
288	391	6386
289	392	6368
290	392	6350
291	392	6332
292	393	6313
293	393	6295
294	393	6276
295	394	6262
296	394	6244
297	395	6240
298	396	6231
299	396	6211
300	396	6192
301	396	6173
302	396	6153
303	397	6140
304	398	6129
305	399	6123
306	400	6128
307	401	6120
308	402	6115
309	403	6108
310	404	6093
311	405	6088
312	406	6082
313	407	6077
314	408	6069
315	408	6052
316	408	6040
317	409	6023
318	409	6008
319	409	5996
320	410	5980
321	410	5963
322	410	5946
323	410	5930
324	411	5918
325	411	5901
326	411	5886
327	412	5870
328	413	5863
329	413	5848
330	413	5838
331	414	5824
332	414	5809
333	415	5800
334	416	5796
335	416	5780
336	416	5769
337	417	5761
338	419	5762
339	420	5764
340	421	5758
341	422	5757
342	424	5757
343	425	5757
344	430	5804
345	434	5838
346	437	5865
347	438	5863
348	439	5858
349	440	5852
350	442	5865
351	444	5867
352	445	5859
353	445	5853
354	447	5850
355	447	5836
356	447	5823
357	447	5808
358	448	5794
359	448	5780
360	448	5766
361	449	5756
362	449	5742
363	449	5729
364	450	5715
365	450	5702
366	451	5694
367	451	5681
368	453	5690
369	454	5690
370	455	5685
371	457	5697
372	458	5685
373	460	5696
374	462	5702
375	463	5699
376	464	5700
377	466	5706
378	468	5714
379	469	5709
380	470	5707
381	472	5713
382	476	5739
383	477	5739
384	478	5731
385	478	5718
386	478	5704
387	478	5692
388	479	5682
389	479	5672
390	480	5662
391	480	5650
392	481	5638
393	481	5627
394	481	5614
395	481	5602
396	482	5589
397	482	5576
398	482	5563
399	482	5551
400	483	5541
401	483	5530
402	484	5524
403	484	5514
404	484	5502
405	485	5490
406	485	5479
407	485	5468
408	486	5457
409	486	5445
410	486	5433
411	486	5421
