iter	MultiRMSE
0	749.6436917
1	740.6534747
2	730.9320951
3	722.1004504
4	713.1399467
5	703.3181444
6	693.0074836
7	681.2763998
8	672.4358023
9	662.0939405
10	653.8405518
11	645.2414761
12	638.4581455
13	630.4890325
14	622.8354085
15	615.0466413
16	608.2040859
17	599.6965743
18	591.8370654
19	583.3544465
20	576.2346022
21	568.6101955
22	561.1624021
23	554.8587709
24	547.1931468
25	538.7336848
26	532.4090302
27	524.240317
28	516.5163882
29	510.6769015
30	502.7297865
31	495.5128041
32	489.9781635
33	483.640749
34	478.2671204
35	472.2548821
36	467.8055191
37	462.4642074
38	456.7642202
39	449.8203925
40	442.3610995
41	436.6183071
42	431.1555355
43	426.1702193
44	420.5884942
45	414.6018265
46	409.8520064
47	405.0636635
48	399.727237
49	394.741515
50	389.8890459
51	383.6056237
52	379.7001352
53	374.5683337
54	370.643908
55	365.5949636
56	360.8006485
57	355.2554579
58	350.8423765
59	345.5766848
60	341.3171397
61	337.0578495
62	333.8553154
63	330.7868021
64	326.0589691
65	322.0918939
66	318.3086354
67	314.1268823
68	310.1697501
69	306.2732516
70	300.8702049
71	296.9301658
72	293.1910828
73	289.4323695
74	285.0084799
75	281.7029518
76	278.4850817
77	274.9976133
78	271.873341
79	268.7366811
80	264.8573529
81	261.4793018
82	257.6375244
83	255.1728678
84	252.3892135
85	249.3362153
86	245.2689012
87	242.1239441
88	239.0203756
89	236.0261707
90	232.7730601
91	230.4774644
92	227.1567425
93	224.3613307
94	221.759119
95	218.1786859
96	215.3684809
97	212.0207133
98	209.7888845
99	206.7447171
100	203.3326054
101	200.077095
102	197.5273325
103	194.7914054
104	192.4157466
105	189.5239417
106	186.9223651
107	184.6242605
108	181.649572
109	179.3508224
110	177.1498413
111	174.2130343
112	172.9825409
113	170.7864972
114	167.947213
115	165.2180573
116	162.9376905
117	160.683655
118	158.9060312
119	156.5260495
120	154.875602
121	152.4931669
122	150.401324
123	148.1724898
124	146.0962015
125	144.0594032
126	142.3574378
127	140.1800369
128	137.8758355
129	136.0989042
130	134.1843438
131	132.5404938
132	129.9715814
133	128.2854985
134	126.3688985
135	124.5183664
136	123.0081581
137	121.1388747
138	119.4727638
139	117.8119692
140	116.0351098
141	114.5130827
142	112.7716749
143	111.0652719
144	109.8966439
145	108.0244344
146	106.5972165
147	104.7890006
148	103.3776915
149	101.6325338
150	99.97814043
151	98.41076121
152	96.84912479
153	95.48895635
154	94.08268992
155	92.83577998
156	91.48169385
157	90.19251153
158	88.707701
159	87.41957372
160	86.00527541
161	84.78241577
162	83.50178007
163	82.08174257
164	80.91209463
165	79.57473372
166	78.4593671
167	77.118998
168	75.95792631
169	74.72918811
170	73.63648894
171	72.51313421
172	71.53596926
173	70.31256173
174	69.27873543
175	68.33709589
176	67.20764277
177	66.17148924
178	65.2640431
179	64.37839982
180	63.23667299
181	62.39146661
182	61.44454184
183	60.67093659
184	59.79741029
185	58.83624257
186	57.95220969
187	56.98673877
188	56.14220501
189	55.38435947
190	54.56047492
191	53.73009711
192	52.91543534
193	52.08275392
194	51.43050732
195	50.52360238
196	49.75959249
197	49.02932952
198	48.47847544
199	47.74342082
200	47.03466318
201	46.32009977
202	45.62127218
203	44.94158746
204	44.24509969
205	43.62270333
206	43.04745179
207	42.44780658
208	41.81887759
209	41.28437217
210	40.64870671
211	40.13216262
212	39.53580755
213	38.96818334
214	38.45094627
215	37.91755733
216	37.37777689
217	36.76145431
218	36.32636591
219	35.82901402
220	35.30549193
221	34.84337097
222	34.39762706
223	33.90427474
224	33.40820498
225	32.86057371
226	32.40833766
227	31.96304139
228	31.53069774
229	31.1214873
230	30.66921351
231	30.24321384
232	29.83068882
233	29.32233217
234	28.97764756
235	28.59818694
236	28.19157194
237	27.8150807
238	27.43483008
239	27.09011406
240	26.68736429
241	26.33157144
242	25.94856108
243	25.69242436
244	25.30793793
245	24.98807835
246	24.65556358
247	24.43448255
248	24.11295682
249	23.8057111
250	23.50592891
251	23.19161684
252	22.87057139
253	22.57465162
254	22.27019234
255	21.94398051
256	21.68560118
257	21.41625599
258	21.16390048
259	20.89555396
260	20.61451849
261	20.34774609
262	20.0920318
263	19.82065119
264	19.53355808
265	19.27743432
266	19.04837079
267	18.8004998
268	18.59110275
269	18.32645394
270	18.07678782
271	17.8702788
272	17.64387576
273	17.41480522
274	17.18487656
275	16.94683775
276	16.74574731
277	16.47666384
278	16.24286432
279	16.00466539
280	15.74972128
281	15.49995778
282	15.30011942
283	15.09316841
284	14.86160033
285	14.67122779
286	14.50396062
287	14.30320221
288	14.1218778
289	13.94827111
290	13.770485
291	13.5733189
292	13.3997854
293	13.18683328
294	13.01488288
295	12.81174036
296	12.64006565
297	12.49064265
298	12.34945543
299	12.18220703
300	12.01556757
301	11.85883337
302	11.70234285
303	11.55188723
304	11.40515794
305	11.26814134
306	11.10044737
307	10.94094192
308	10.80229602
309	10.6645445
310	10.48824787
311	10.35555246
312	10.20842625
313	10.07365667
314	9.956604292
315	9.832649987
316	9.707202094
317	9.583356509
318	9.461242285
319	9.33548193
320	9.213121087
321	9.09174743
322	8.973827911
323	8.908969147
324	8.774849693
325	8.689298637
326	8.568318694
327	8.458809185
328	8.352320621
329	8.245977722
330	8.137755669
331	8.028065679
332	7.911078677
333	7.809079437
334	7.697139733
335	7.59732288
336	7.508101984
337	7.406299302
338	7.313958853
339	7.210894353
340	7.12275754
341	7.020614724
342	6.909116081
343	6.822711477
344	6.724005314
345	6.638624955
346	6.5598435
347	6.474728024
348	6.385370196
349	6.301050047
350	6.218451255
351	6.141587897
352	6.05107634
