iter	Passed	Remaining
0	46	232430
1	47	119378
2	48	81054
3	49	61262
4	49	49510
5	49	41516
6	50	35977
7	51	31897
8	51	28796
9	52	26336
10	53	24255
11	53	22318
12	54	20896
13	54	19523
14	55	18366
15	55	17432
16	56	16531
17	56	15655
18	57	15010
19	57	14338
20	58	13892
21	58	13316
22	59	12881
23	60	12486
24	60	12074
25	60	11652
26	61	11351
27	62	11072
28	63	10829
29	64	10636
30	65	10491
31	67	10432
32	67	10159
33	68	9998
34	69	9821
35	69	9615
36	69	9372
37	70	9213
38	70	9028
39	71	8889
40	72	8728
41	72	8605
42	73	8483
43	74	8339
44	74	8186
45	74	8055
46	75	7960
47	76	7874
48	76	7762
49	77	7673
50	77	7552
51	78	7468
52	78	7368
53	79	7258
54	79	7190
55	80	7100
56	80	7001
57	81	6938
58	81	6832
59	82	6773
60	82	6701
61	83	6649
62	83	6567
63	83	6477
64	84	6427
65	85	6360
66	85	6280
67	86	6238
68	86	6193
69	87	6152
70	87	6080
71	88	6047
72	89	6014
73	89	5984
74	90	5938
75	90	5890
76	91	5863
77	92	5829
78	93	5818
79	93	5754
80	93	5701
81	94	5676
82	95	5651
83	95	5608
84	96	5552
85	96	5529
86	97	5491
87	98	5470
88	98	5444
89	99	5427
90	99	5382
91	100	5364
92	101	5331
93	101	5311
94	102	5289
95	103	5268
96	103	5253
97	104	5237
98	105	5224
99	106	5211
100	106	5179
101	107	5166
102	108	5138
103	108	5124
104	109	5110
105	110	5096
106	111	5085
107	111	5068
108	112	5042
109	113	5026
110	113	5000
111	113	4974
112	114	4937
113	114	4925
114	115	4913
115	116	4890
116	116	4879
117	117	4850
118	118	4840
119	118	4830
120	118	4797
121	119	4773
122	119	4751
123	120	4725
124	120	4716
125	121	4689
126	121	4670
127	122	4661
128	122	4640
129	123	4615
130	123	4604
131	125	4620
132	126	4613
133	126	4604
134	127	4585
135	127	4577
136	128	4551
137	128	4536
138	129	4514
139	129	4495
140	130	4500
141	131	4495
142	131	4480
143	132	4464
144	132	4443
145	133	4433
146	134	4428
147	134	4420
148	135	4412
149	136	4403
150	136	4394
151	137	4377
152	138	4371
153	138	4357
154	138	4344
155	139	4336
156	140	4329
157	141	4322
158	141	4315
159	142	4312
160	143	4308
161	144	4305
162	144	4298
163	145	4293
164	146	4279
165	147	4280
166	147	4267
167	148	4262
168	148	4247
169	148	4231
170	149	4227
171	150	4222
172	151	4219
173	151	4215
174	152	4202
175	152	4189
176	153	4183
177	154	4178
178	155	4174
179	155	4161
180	156	4159
181	157	4156
182	158	4162
183	158	4151
184	159	4149
185	160	4155
186	161	4153
187	162	4151
188	162	4147
189	163	4149
190	164	4152
191	165	4152
192	166	4150
193	167	4155
194	168	4147
195	169	4144
196	169	4133
197	170	4130
198	170	4114
199	171	4111
200	172	4107
201	172	4107
202	173	4104
203	174	4101
204	175	4098
205	175	4095
206	176	4093
207	177	4093
208	178	4091
209	179	4089
210	180	4086
211	180	4085
212	181	4083
213	182	4081
214	183	4078
215	183	4065
216	184	4063
217	185	4060
218	185	4058
219	186	4055
220	187	4052
221	188	4050
222	188	4048
223	189	4045
224	190	4044
225	191	4054
226	193	4060
227	193	4059
228	194	4061
229	195	4062
230	196	4051
231	196	4042
232	197	4039
233	198	4036
234	198	4026
235	199	4023
236	200	4022
237	200	4020
238	201	4019
239	202	4016
240	203	4014
241	204	4013
242	204	4012
243	205	3998
244	205	3997
245	206	3989
246	207	3985
247	207	3982
248	208	3981
249	209	3977
250	210	3975
251	210	3973
252	211	3971
253	212	3970
254	213	3970
255	214	3967
256	214	3960
257	215	3958
258	216	3958
259	217	3957
260	217	3954
261	218	3946
262	218	3944
263	219	3942
264	220	3941
265	220	3930
266	221	3929
267	222	3927
268	222	3916
269	223	3915
270	224	3914
271	224	3903
272	225	3901
273	225	3894
274	226	3892
275	227	3890
276	228	3888
277	228	3885
278	229	3881
279	230	3878
280	230	3876
281	231	3873
282	232	3872
283	233	3869
284	234	3879
285	235	3874
286	235	3862
287	236	3862
288	236	3859
289	237	3857
290	238	3854
291	238	3851
292	239	3850
293	240	3848
294	241	3847
295	241	3845
296	242	3843
297	243	3843
298	244	3840
299	244	3838
300	245	3836
301	246	3836
302	247	3837
303	248	3834
304	249	3833
305	249	3830
306	250	3828
307	251	3827
308	251	3825
309	252	3823
310	253	3822
311	254	3820
312	254	3817
313	255	3816
314	256	3813
315	257	3811
316	257	3809
317	258	3807
318	259	3806
319	260	3804
320	260	3801
321	261	3799
322	262	3797
323	262	3788
324	263	3785
325	263	3777
326	264	3775
327	264	3768
328	265	3766
329	266	3764
330	266	3762
331	267	3760
332	268	3758
333	268	3755
334	269	3752
335	270	3751
336	271	3750
337	271	3747
338	272	3745
339	273	3744
340	273	3743
341	274	3741
342	275	3739
343	276	3738
344	276	3737
345	277	3736
346	278	3729
347	278	3728
348	279	3726
349	280	3725
350	281	3724
351	281	3722
352	282	3721
353	283	3719
354	284	3722
355	285	3722
356	286	3720
357	286	3718
358	287	3717
359	288	3715
360	289	3718
361	290	3717
362	290	3716
363	291	3713
364	292	3712
365	293	3710
366	293	3709
367	294	3707
368	295	3705
369	295	3703
370	296	3698
371	297	3696
372	297	3695
373	298	3693
374	299	3693
375	300	3691
376	300	3686
377	301	3685
378	302	3683
379	302	3680
380	302	3672
381	303	3671
382	304	3669
383	305	3668
384	305	3667
385	306	3666
386	307	3661
387	307	3660
388	308	3660
389	309	3659
390	310	3658
391	311	3657
392	311	3657
393	312	3652
394	313	3650
395	313	3649
396	314	3646
397	315	3645
398	315	3643
399	316	3642
400	317	3640
401	318	3638
402	318	3638
403	319	3638
404	320	3631
405	320	3631
406	321	3628
407	321	3621
408	322	3620
409	322	3613
410	323	3612
411	324	3611
412	325	3610
413	325	3609
414	326	3607
415	327	3607
416	328	3606
417	328	3605
418	329	3603
419	330	3602
420	331	3600
421	331	3598
422	332	3593
423	332	3592
424	333	3591
425	334	3589
426	335	3588
427	335	3587
428	336	3586
429	337	3585
430	338	3584
431	338	3584
432	339	3583
433	340	3579
434	341	3578
435	341	3578
436	342	3579
437	343	3578
438	344	3574
439	344	3574
440	345	3573
441	345	3567
442	346	3565
443	347	3563
444	348	3563
445	349	3563
446	349	3563
447	350	3562
448	351	3563
449	352	3559
450	352	3556
451	353	3554
452	354	3554
453	355	3555
454	355	3554
455	356	3553
456	357	3552
457	357	3547
458	358	3546
459	358	3542
460	360	3548
461	360	3542
462	361	3542
463	362	3539
464	362	3538
465	363	3537
466	364	3536
467	365	3538
468	365	3534
469	366	3533
470	367	3532
471	368	3531
472	368	3526
473	368	3520
474	369	3520
475	370	3518
476	371	3518
477	371	3515
478	372	3514
479	373	3513
480	373	3512
481	374	3511
482	375	3507
483	375	3506
484	376	3505
485	377	3504
486	378	3503
487	378	3501
488	379	3501
489	380	3499
490	380	3498
491	381	3497
492	382	3496
493	383	3495
494	383	3494
495	384	3492
496	385	3493
497	386	3491
498	386	3489
499	387	3489
500	388	3487
501	389	3487
502	390	3486
503	390	3486
504	391	3485
505	392	3485
