SIC,SC-EU,SC-NA,SC-TP,SST-Indian,SST-Atlantic,SST-Pacific,Z70,AO,NAO,nina3.4,nina1+2,nina3,nina4,PNA,PC
-1.093082,-1.992648,-0.9303501,,,2.315238,,0.2385919,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-0.5763575,-768.1842
1.037173,-0.993634,-2.250719,,,1.548812,,0.127273,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,-1.123544,340.1357
0.5596676,-0.3360506,0.01147377,,,-0.1330173,,0.9844965,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-1.722187,-117.004
-0.1360691,-0.05242377,0.3223689,,,1.231231,,0.1807469,0.744137,0.744137,0.744137,0.744137,0.744137,0.744137,0.744137,144.8853
0.183269,-0.5287589,-0.9799713,,,-0.2637036,,-1.380802,0.628177,0.628177,0.628177,0.628177,0.628177,0.628177,0.628177,222.5097
-0.4774305,0.5124707,0.5050433,,,-0.1347456,,0.6751845,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,-1.181524,742.1832
-0.5044589,0.07818279,0.688845,,,-2.14394,,0.6260914,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,-0.03641878,292.3074
-1.458469,-0.6267561,-0.8963994,,,-1.769601,,-0.001805139,1.700807,1.700807,1.700807,1.700807,1.700807,1.700807,1.700807,670.399
1.490653,-0.04947438,-0.7997786,,,0.7316453,,-0.09042417,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,-0.2248537,1040.952
1.683858,-1.732952,-2.431523,,,0.4153346,,-1.831255,0.76443,0.76443,0.76443,0.76443,0.76443,0.76443,0.76443,-421.7444
0.6127238,-0.9852922,-0.8299744,,,0.7396095,,-1.193516,1.265957,1.265957,1.265957,1.265957,1.265957,1.265957,1.265957,-1497.963
-0.8157887,-0.6506022,-0.9586242,,,0.9129738,,-2.003945,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,0.7173213,-1470.888
-0.8918692,-0.474157,-0.8294972,,,-0.5960839,,-1.575358,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-0.04366621,-168.3084
-0.3873352,-0.8074142,-1.444634,,,0.462499,,-0.3503681,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-0.1958637,-353.094
-0.1150468,0.970184,0.2938368,,,-0.4914417,,0.8652508,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,0.06867003,536.7573
1.387544,-0.7441334,-0.7434114,,,0.1153402,,-1.33165,1.368147,1.368147,1.368147,1.368147,1.368147,1.368147,1.368147,30.53272
0.1782638,-1.353097,-0.44806,,,0.9616761,,-0.8845379,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-0.8539367,-494.5095
-0.8368109,0.5381709,0.4570162,,,-1.86896,,1.519943,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,-0.5814307,1717.783
2.325537,-0.3330172,0.4807974,,,-0.6388888,,0.09453441,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-0.8314694,-914.5221
0.6797948,-0.08983614,0.08702417,,,0.2396636,,0.8060797,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,-1.584485,269.0274
0.3304248,0.2329725,0.3180887,,,-0.9533725,,1.237349,0.494823,0.494823,0.494823,0.494823,0.494823,0.494823,0.494823,831.3924
-0.07600544,0.7238852,1.283745,,,-0.2792582,,2.299716,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,-0.6162187,1078.354
-0.9339138,-0.6725947,-0.9895902,,,-1.066049,,-0.5320852,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,0.6071593,408.2502
-1.451462,1.009787,0.2663803,,,0.2019871,,1.059462,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,-2.128772,123.9062
-0.7407092,0.6722323,0.4102461,,,0.09405766,,0.3384872,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,0.3317543,914.1089
-1.088077,-0.5580822,-0.2358156,,,1.136613,,-0.482668,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,0.7513846,-2176.201
0.8940216,-0.9236123,-0.001346466,,,0.6298319,,-0.4125644,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,0.7818241,289.6914
0.4335339,-0.6263347,0.2261199,,,0.3933254,,0.2589246,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,0.08461455,-1000.575
1.844027,-0.699053,-0.6320044,,,-0.1091741,,0.07221758,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,0.04475329,-466.5282
-0.3593055,-0.7564356,-0.1467388,,,-1.747253,,0.2306847,1.057954,1.057954,1.057954,1.057954,1.057954,1.057954,1.057954,-800.3401
0.9931265,1.27277,0.3622377,,,0.5026022,,0.9395878,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,-0.1357094,814.3958
0.09617686,-0.4847739,0.767103,,,-1.125446,,-1.02168,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,-1.224284,182.2912
0.7558751,1.298386,0.6637843,,,-1.727022,,0.0846824,2.132758,2.132758,2.132758,2.132758,2.132758,2.132758,2.132758,
0.3894872,1.301672,0.9632502,,,0.8897231,,-0.1138411,-0.6046227,-0.6046227,-0.6046227,-0.6046227,-0.6046227,-0.6046227,-0.6046227,
