TP,EU,Indian,Pacific,Atlantic,GlobeSST,AO,NAO,PNA,nina3.4,nina4,nina3,nina1+2,PC1
-1.095953,-1.408532,-0.6494653,-0.6409567,-0.3637033,-0.5300916,-0.5763575,0.8092177,1.589611,0.2137566,-0.08128933,0.4253252,0.2730326,-20.57794
0.2498122,-1.131915,-0.7011738,-1.291268,-0.4780138,-0.787647,-1.123544,-0.7375387,1.938865,-0.2193777,-0.05741598,-0.2511102,-0.4208769,-21.70994
-1.031513,-0.08324765,-1.704444,-1.292657,-0.5333066,-1.00079,-1.722187,-1.610621,-0.2022129,-0.3053409,-0.429849,-0.2862085,-0.6177963,20.99354
-1.151014,-0.07330614,-0.5282943,-1.404529,-1.332366,-1.372182,0.744137,1.558344,-0.3743091,1.777671,0.8450119,2.074934,1.876526,56.29494
-1.117104,-1.070116,-0.08347379,-1.062146,-1.133088,-1.068535,0.628177,-0.6028038,0.2027191,-0.9897619,-1.193807,-0.5095599,0.8169041,60.32761
-1.255677,-0.273293,-1.990238,-1.132866,-0.9260949,-1.277752,-1.181524,0.1678797,-0.2022129,-0.73517,-0.9550681,-0.6659064,-0.2645933,23.76483
1.606368,-0.04182544,-1.781579,-1.069865,-0.7449796,-1.100852,-0.03641878,0.03314479,-2.12564,-0.5235626,-0.4966933,-0.7807717,-0.8866102,-19.40228
-0.4531862,-0.8488758,-0.8374106,-1.813797,-3.145426,-2.774746,1.700807,1.773919,-0.02505517,0.7659191,0.4821305,0.4859475,0.2042664,-14.10122
-1.242436,-1.698196,1.723068,-1.067487,-0.4423445,-0.2819774,-0.2248537,-0.2956083,-0.4552954,1.298245,1.246089,1.187907,1.11385,5.066192
-1.080667,-1.984378,-0.04596679,-0.01639509,-0.4098133,-0.2929344,0.76443,-1.184859,-0.1060416,-1.644423,-1.957765,-1.399775,-1.121039,36.11136
-0.7624297,-0.1950507,-0.3976876,-0.3696945,-0.9183033,-0.7949395,1.265957,1.310432,-0.8146728,-0.3880027,-0.6208385,-0.4393634,-0.4740147,48.41963
-0.7094187,-1.956707,-0.6965651,0.5642998,0.006523359,0.03076454,0.7173213,0.7122086,-1.654907,0.170774,0.6205975,-0.09795522,-0.6209245,44.22281
-1.250298,-1.05254,-0.3944842,-0.9886877,-0.5621754,-0.7125857,-0.04366621,0.5666949,-0.6172683,0.8122106,0.9166293,0.5848594,0.5324655,20.66468
-1.421534,-0.3246122,-1.150656,-1.640324,-0.9310019,-1.267586,-0.1958637,-0.4249538,-0.08579499,-0.2226848,0.1335763,-0.3053533,-0.0520437,46.48811
-0.2807144,-0.3531115,-0.4763501,-1.622956,-0.6428567,-0.9481664,0.06867003,0.895448,-0.8754125,0.1277915,0.2863679,0.1126324,0.3449234,52.6114
-0.7164592,-0.7413126,-1.159402,0.5750645,-0.2466149,-0.220448,1.368147,-0.7375388,-2.00416,0.7659191,1.031226,0.4061786,0.3480498,9.67261
-0.5046372,0.0338306,-0.3686736,-0.2209999,0.06049613,-0.08071639,-0.8539367,-0.3495023,0.1824725,-0.9401671,-0.5730891,-1.016885,-0.3958711,16.15446
