TP,EU,Pacific,Atlantic,GlobeSST,AO,NAO,PNA,nina3.4,nina4,nina3,nina1+2,PC3
-1.175043,0.964639,0.4592241,0.301705,0.4607577,-0.5763575,0.8092177,1.589611,0.2137566,-0.08128933,0.4253252,0.2730326,3.113602
-0.281976,0.3826995,0.1830381,1.212465,0.6020344,-1.123544,-0.7375387,1.938865,-0.2193777,-0.05741598,-0.2511102,-0.4208769,16.7735
-1.175864,0.7672892,-0.3606298,-0.9290981,-0.6269779,-1.722187,-1.610621,-0.2022129,-0.3053409,-0.429849,-0.2862085,-0.6177963,-21.00955
-0.940982,-0.9732184,0.7337838,1.970081,1.306229,0.744137,1.558344,-0.3743091,1.777671,0.8450119,2.074934,1.876526,-7.769538
-1.087228,1.467689,0.3154372,0.8858349,0.5764362,0.628177,-0.6028038,0.2027191,-0.9897619,-1.193807,-0.5095599,0.8169041,2.454088
-1.165064,-0.1968061,0.000453226,-0.9310976,-0.3563288,-1.181524,0.1678797,-0.2022129,-0.73517,-0.9550681,-0.6659064,-0.2645933,-12.65676
1.902247,-0.03311227,0.7341265,1.465801,1.113316,-0.03641878,0.03314479,-2.12564,-0.5235626,-0.4966933,-0.7807717,-0.8866102,24.89358
-0.7796105,-0.2116801,1.760782,1.219904,1.790828,1.700807,1.773919,-0.02505517,0.7659191,0.4821305,0.4859475,0.2042664,18.39706
-1.132828,0.4234278,0.5862483,0.1633739,0.5032478,-0.2248537,-0.2956083,-0.4552954,1.298245,1.246089,1.187907,1.11385,4.381763
-0.8983939,0.1529734,-1.431766,-0.1806727,-1.145425,0.76443,-1.184859,-0.1060416,-1.644423,-1.957765,-1.399775,-1.121039,-12.02223
-0.5476766,0.6953475,-0.1510358,0.02683968,-0.1032477,1.265957,1.310432,-0.8146728,-0.3880027,-0.6208385,-0.4393634,-0.4740147,-5.266769
-0.6062161,0.006853532,-0.1862596,0.0280691,-0.1292526,0.7173213,0.7122086,-1.654907,0.170774,0.6205975,-0.09795522,-0.6209245,-4.185606
-1.178114,0.6592124,1.038489,0.9991699,1.163346,-0.04366621,0.5666949,-0.6172683,0.8122106,0.9166293,0.5848594,0.5324655,6.685107
-1.204242,-0.5317702,0.5220646,1.133259,0.8265305,-0.1958637,-0.4249538,-0.08579499,-0.2226848,0.1335763,-0.3053533,-0.0520437,-5.000209
-0.3432528,-0.3132912,1.738088,0.1028977,1.345884,0.06867003,0.895448,-0.8754125,0.1277915,0.2863679,0.1126324,0.3449234,12.55313
-0.7680327,0.7019894,0.007186784,0.06170053,0.02903678,1.368147,-0.7375388,-2.00416,0.7659191,1.031226,0.4061786,0.3480498,-2.27208
-0.4184764,-0.06826118,0.1798373,-0.3420185,0.004164004,-0.8539367,-0.3495023,0.1824725,-0.9401671,-0.5730891,-1.016885,-0.3958711,-5.249996
0.4661762,0.5494117,0.07876813,-0.8475279,-0.2654496,-0.5814307,-0.8022115,-0.8197344,-0.4409046,-0.3391259,-0.5797564,-0.8084683,-7.727436
0.3978136,0.8091884,1.805149,-1.554862,0.7612668,-0.8314694,-1.028566,0.364692,2.276933,1.021674,2.904522,3.739453,-10.81273
0.1528063,1.078745,-1.396001,-1.629738,-1.673624,-1.584485,-1.217195,0.8354254,-1.39314,-1.733351,-0.9211647,0.08549049,-31.71723
1.080953,0.932933,-1.720824,0.0131876,-1.28844,0.494823,0.8361647,0.5874046,-1.300559,-1.446868,-1.300863,-1.027267,-7.069657
-0.1970315,0.5703929,-0.3450345,-0.2942508,-0.3720694,-0.6162187,0.06548117,-0.1566581,-0.6690437,-0.8261498,-0.5095599,-0.5740394,14.06275
-0.6387601,-1.035857,-1.094002,-0.6298198,-1.063589,0.6071593,0.03314477,0.3798769,-0.2458287,0.3197873,-0.5701841,-1.027267,-13.99608
0.5452312,-2.027551,0.9103634,0.5941921,0.9119062,-2.128772,-1.648347,0.6430827,1.248648,1.098073,0.9773211,0.4418199,29.65732
-0.7801628,-0.3559223,0.09614748,-0.5953868,-0.1557999,0.3317543,-0.08542194,-0.03517849,0.3327848,0.5251041,0.3551288,-0.0207852,1.924842
1.054411,-0.5633734,0.648824,-0.8962098,0.1443973,0.7513846,0.1247645,-0.723563,0.7163262,1.112395,0.4891407,0.1417512,8.504274
0.05469318,1.535594,-0.5683282,-0.7639943,-0.7198535,0.7818241,-0.2578826,0.7595007,-0.2392145,0.07627805,-0.5223219,-1.114788,1.355124
0.437254,-1.5539,0.1881162,-1.08864,-0.2756173,0.08461455,-1.750745,-1.027262,0.7460824,1.164917,0.83693,0.838787,-5.942095
-0.5146942,1.394201,-1.130713,-1.615901,-1.468916,0.04475329,1.132581,1.366899,-1.343543,-1.146055,-1.406154,-1.364845,-21.75216
0.7834168,1.145471,-1.508614,-1.285637,-1.626461,1.057954,0.4912434,1.422577,-0.3549395,-0.8595747,0.05839119,0.3011629,-10.81302
1.911884,-1.111658,-0.2288213,0.9240891,0.1819867,-0.1357094,0.3349509,0.8202404,0.9907549,1.336809,0.817787,0.3199159,-2.158737
0.6411532,1.727369,-1.964774,-1.627495,-2.100296,-1.224284,-1.718409,1.098632,-1.637811,-2.124879,-1.393394,-1.239817,-21.68497
0.8874034,-0.1319,-2.02216,0.5114015,-1.324098,2.132758,1.445166,-0.2680144,-1.009601,-1.131733,-0.9179733,-0.6928153,-8.8663
-0.1948287,0.3009845,-0.7291365,-0.6814514,-0.8091086,-0.6046227,-1.686072,-1.427132,0.256741,0.4821305,0.0807256,-0.2677179,-15.91615
1.856398,-0.9253336,-0.3195614,-0.0610758,-0.2636,1.340606,0.04392358,-0.5970217,-0.1797004,0.03807742,-0.2542998,-0.6959417,20.25981
1.711882,-2.108179,1.215466,1.449506,1.468883,-1.11847,0.6475359,1.174556,0.4848782,0.8593338,0.5242372,0.6699979,47.87965
-0.4969803,-1.997922,1.365874,1.998653,1.792297,1.122457,1.062519,0.4456783,2.402574,1.795184,2.515254,2.045315,9.139835
-0.247966,-0.8896298,0.1540353,0.4617628,0.2926679,-1.252549,0.6259784,1.437762,-0.6954964,-0.4584953,-0.4872274,0.2792836,-17.33179
0.6799801,-0.6139442,-0.3872825,-0.2734879,-0.3958724,0.100559,-0.05847494,-1.427132,-0.6558191,-0.2149834,-0.8318215,-0.9209951,22.24282
2.209721,-0.6231014,0.8234391,0.7044715,0.8888116,-0.07193151,1.526007,0.7746856,0.7460824,1.25564,0.6103852,0.2355231,6.942851
