PC1,PC2,PC3
-0.6667926,0.5011547,0.1941356
-0.7034733,-0.1483509,1.045841
0.6802595,2.327102,-1.309962
1.824141,-1.541636,-0.484437
1.954812,-0.4044386,0.1530144
0.7700583,1.186757,-0.7891591
-0.6286975,0.9798754,1.552135
-0.4569257,-1.779441,1.147072
0.1641612,0.1803511,0.2732064
1.170126,-0.3689298,-0.7495959
1.568955,-0.02273194,-0.3283873
1.432964,-0.3019878,-0.2609759
0.6696035,-1.611853,0.4168218
1.506367,-0.2190647,-0.311767
1.704782,1.209012,0.7826975
0.3134243,-0.7211717,-0.141666
0.5234576,1.352634,-0.3273415
0.547647,0.4918966,-0.4818119
-0.2300983,-1.20106,-0.6741826
-0.411034,-0.434512,-1.977595
-0.504642,-0.8984773,-0.4407988
-0.175652,0.7214928,0.8768239
-0.6397329,-0.9852515,-0.8726669
-0.7396812,0.4304622,1.849158
-0.9010686,0.4559514,0.1200154
0.1233318,-0.06188742,0.5302483
-1.293957,-0.7801076,0.08449306
-1.426893,-0.2634787,-0.3704944
0.6924936,-0.04395233,-1.356265
-0.3227554,1.129476,-0.6742005
-2.162296,1.227294,-0.134599
-1.499568,1.535755,-1.352076
-0.8895299,-1.650828,-0.5528209
-0.5769496,0.06398472,-0.9923849
0.4733933,1.51693,1.263215
0.4921179,-0.3026931,2.985335
-0.9363416,-1.474467,0.5698761
-0.9622587,-0.7432443,-1.080651
-0.1289026,0.1379469,1.386858
-0.3548465,0.5114911,0.4328923
